#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [°];device orientation [°];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20191201-084609.674;20191201-084610.000;32.86402000;-117.22371700;6.0;44.8;44.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20191201-084610.615;20191201-084611.000;32.86403660;-117.22367900;4.0;45.0;45.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20191201-084611.140;20191201-084612.000;32.86403660;-117.22367100;4.0;45.1;45.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20191201-084611.674;20191201-084612.000;32.86403660;-117.22367100;4.0;44.9;44.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20191201-084612.208;20191201-084613.000;32.86403660;-117.22369400;4.0;44.9;44.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20191201-084612.707;20191201-084613.000;32.86403660;-117.22369400;4.0;44.9;44.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20191201-084613.240;20191201-084614.000;32.86403000;-117.22370900;5.0;45.0;45.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20191201-084613.740;20191201-084614.000;32.86403000;-117.22370900;5.0;45.1;45.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20191201-084614.272;20191201-084615.000;32.86403660;-117.22374700;6.0;279.9;44.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20191201-084614.790;20191201-084615.000;32.86403660;-117.22374700;6.0;279.9;44.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20191201-084615.290;20191201-084616.000;32.86403270;-117.22375500;5.0;279.9;44.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20191201-084615.823;20191201-084616.000;32.86403270;-117.22375500;5.0;279.9;44.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20191201-084616.323;20191201-084617.000;32.86403270;-117.22374700;5.0;279.9;44.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20191201-084616.823;20191201-084617.000;32.86403270;-117.22374700;5.0;279.9;46.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
